benchmark,policy_name,threshold,classifier_model_type,regression_candidate,n_features,feature_set_key,feature_columns,regression_ic,regression_oos_r2,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate,avg_hold_fraction,mean_policy_return,uplift_vs_sell_50,uplift_vs_regression_sign,experiment_mode,step,candidate_feature
VEA,classifier_only,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.317509222632117,0.038017631548993513,0.34209131925935043,0.42,0.4797979797979798,0.6304347826086957,0.29292929292929293,0.66,0.30666666666666664,0.07333333333333333,0.00034353687107622875,-0.034058754064408635,-0.0719243449955619,single_feature,1,mom_3m
VEA,hybrid_confirm,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.317509222632117,0.038017631548993513,0.34209131925935043,0.42,0.4797979797979798,0.6304347826086957,0.29292929292929293,0.66,0.30666666666666664,0.07333333333333333,0.00034353687107622875,-0.034058754064408635,-0.0719243449955619,single_feature,1,mom_3m
VEA,classifier_only,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.317509222632117,0.038017631548993513,0.34209131925935043,0.42,0.4797979797979798,0.6304347826086957,0.29292929292929293,0.66,0.30666666666666664,0.04666666666666667,0.0008776866461369777,-0.03352460428934788,-0.07139019522050115,single_feature,1,mom_3m
VEA,hybrid_confirm,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.317509222632117,0.038017631548993513,0.34209131925935043,0.42,0.4797979797979798,0.6304347826086957,0.29292929292929293,0.66,0.30666666666666664,0.04666666666666667,0.0008776866461369777,-0.03352460428934788,-0.07139019522050115,single_feature,1,mom_3m
VHT,regression_sign,,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.18165911618696257,-0.5983100847477592,0.29127873631794116,0.3697916666666667,0.36557634143609274,0.4583333333333333,0.3893805309734513,0.5885416666666666,0.5,0.3125,0.024399285064339648,0.003630849585318001,0.0,single_feature,1,mom_3m
VHT,classifier_only,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.18165911618696257,-0.5983100847477592,0.29127873631794116,0.3697916666666667,0.36557634143609274,0.4583333333333333,0.3893805309734513,0.5885416666666666,0.5,0.5,0.0029107352357018584,-0.017857700243319785,-0.02148854982863779,single_feature,1,mom_3m
VHT,hybrid_confirm,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.18165911618696257,-0.5983100847477592,0.29127873631794116,0.3697916666666667,0.36557634143609274,0.4583333333333333,0.3893805309734513,0.5885416666666666,0.5,0.09895833333333333,-0.0012470429591595756,-0.02201547843818122,-0.025646328023499223,single_feature,1,mom_3m
VHT,classifier_only,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.18165911618696257,-0.5983100847477592,0.29127873631794116,0.3697916666666667,0.36557634143609274,0.4583333333333333,0.3893805309734513,0.5885416666666666,0.5,0.234375,0.003465188964591139,-0.017303246514430503,-0.020934096099748507,single_feature,1,mom_3m
VHT,hybrid_confirm,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.18165911618696257,-0.5983100847477592,0.29127873631794116,0.3697916666666667,0.36557634143609274,0.4583333333333333,0.3893805309734513,0.5885416666666666,0.5,0.015625,-0.0021224398924803794,-0.022890875371502025,-0.026521724956820026,single_feature,1,mom_3m
VHT,classifier_only,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.18165911618696257,-0.5983100847477592,0.29127873631794116,0.3697916666666667,0.36557634143609274,0.4583333333333333,0.3893805309734513,0.5885416666666666,0.5,0.15104166666666666,0.003945806410746996,-0.016822629068274645,-0.020453478653592653,single_feature,1,mom_3m
VHT,hybrid_confirm,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.18165911618696257,-0.5983100847477592,0.29127873631794116,0.3697916666666667,0.36557634143609274,0.4583333333333333,0.3893805309734513,0.5885416666666666,0.5,0.005208333333333333,-0.0006297584446726875,-0.021398193923694336,-0.025029043509012337,single_feature,1,mom_3m
VPU,regression_sign,,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.25197013265333806,-0.3334276533669289,0.3089359974709676,0.546875,0.5230075901328273,0.6637168141592921,0.6048387096774194,0.6458333333333334,0.5885416666666666,0.6145833333333334,0.049724961016911116,0.024990229807706026,0.0,single_feature,1,mom_3m
VPU,classifier_only,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.25197013265333806,-0.3334276533669289,0.3089359974709676,0.546875,0.5230075901328273,0.6637168141592921,0.6048387096774194,0.6458333333333334,0.5885416666666666,0.5572916666666666,0.02843174171384685,0.003697010504641758,-0.021293219303064267,single_feature,1,mom_3m
VPU,hybrid_confirm,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.25197013265333806,-0.3334276533669289,0.3089359974709676,0.546875,0.5230075901328273,0.6637168141592921,0.6048387096774194,0.6458333333333334,0.5885416666666666,0.3489583333333333,0.031736441264284536,0.00700171005507945,-0.01798851975262658,single_feature,1,mom_3m
VPU,classifier_only,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.25197013265333806,-0.3334276533669289,0.3089359974709676,0.546875,0.5230075901328273,0.6637168141592921,0.6048387096774194,0.6458333333333334,0.5885416666666666,0.23958333333333334,0.0007588055290731916,-0.023975925680131894,-0.04896615548783793,single_feature,1,mom_3m
VPU,hybrid_confirm,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.25197013265333806,-0.3334276533669289,0.3089359974709676,0.546875,0.5230075901328273,0.6637168141592921,0.6048387096774194,0.6458333333333334,0.5885416666666666,0.09375,0.005275206905162817,-0.019459524304042273,-0.0444497541117483,single_feature,1,mom_3m
VPU,classifier_only,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.25197013265333806,-0.3334276533669289,0.3089359974709676,0.546875,0.5230075901328273,0.6637168141592921,0.6048387096774194,0.6458333333333334,0.5885416666666666,0.109375,-0.0005338120800285305,-0.025268543289233617,-0.05025877309693964,single_feature,1,mom_3m
VPU,hybrid_confirm,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.25197013265333806,-0.3334276533669289,0.3089359974709676,0.546875,0.5230075901328273,0.6637168141592921,0.6048387096774194,0.6458333333333334,0.5885416666666666,0.03125,0.004972563593595872,-0.019762167615609214,-0.04475239742331524,single_feature,1,mom_3m
BNDX,regression_sign,,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.46423197056108445,-0.22948336333880448,0.33101421707783973,0.5,0.4862012987012987,0.7073170731707317,0.5178571428571429,0.717948717948718,0.5256410256410257,0.7307692307692307,0.1082784863421787,0.059108087321326025,0.0,single_feature,1,mom_3m
BNDX,classifier_only,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.46423197056108445,-0.22948336333880448,0.33101421707783973,0.5,0.4862012987012987,0.7073170731707317,0.5178571428571429,0.717948717948718,0.5256410256410257,0.5256410256410257,0.059615235887611716,0.010444836866759033,-0.04866325045456698,single_feature,1,mom_3m
BNDX,hybrid_confirm,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.46423197056108445,-0.22948336333880448,0.33101421707783973,0.5,0.4862012987012987,0.7073170731707317,0.5178571428571429,0.717948717948718,0.5256410256410257,0.46153846153846156,0.060389056220930826,0.011218657200078157,-0.04788943012124787,single_feature,1,mom_3m
BNDX,classifier_only,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.46423197056108445,-0.22948336333880448,0.33101421707783973,0.5,0.4862012987012987,0.7073170731707317,0.5178571428571429,0.717948717948718,0.5256410256410257,0.07692307692307693,0.0010917659360384557,-0.04807863308481422,-0.10718672040614025,single_feature,1,mom_3m
BNDX,hybrid_confirm,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.46423197056108445,-0.22948336333880448,0.33101421707783973,0.5,0.4862012987012987,0.7073170731707317,0.5178571428571429,0.717948717948718,0.5256410256410257,0.038461538461538464,0.005762660830182375,-0.04340773819067031,-0.10251582551199633,single_feature,1,mom_3m
BNDX,classifier_only,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.46423197056108445,-0.22948336333880448,0.33101421707783973,0.5,0.4862012987012987,0.7073170731707317,0.5178571428571429,0.717948717948718,0.5256410256410257,0.02564102564102564,-0.0032868664421478603,-0.05245726546300052,-0.11156535278432655,single_feature,1,mom_3m
BNDX,hybrid_confirm,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.46423197056108445,-0.22948336333880448,0.33101421707783973,0.5,0.4862012987012987,0.7073170731707317,0.5178571428571429,0.717948717948718,0.5256410256410257,0.0,0.0,-0.04917039902085267,-0.1082784863421787,single_feature,1,mom_3m
BND,regression_sign,,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.43988266145162014,-0.4406650109003325,0.3586006905701867,0.48,0.5387687969924813,0.7833333333333333,0.41964285714285715,0.7466666666666667,0.4,0.7266666666666667,0.09263298066431477,0.043018025553232433,0.0,single_feature,1,mom_3m
BND,classifier_only,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.43988266145162014,-0.4406650109003325,0.3586006905701867,0.48,0.5387687969924813,0.7833333333333333,0.41964285714285715,0.7466666666666667,0.4,0.4,0.047517317497871595,-0.0020976376132107477,-0.04511566316644318,single_feature,1,mom_3m
BND,hybrid_confirm,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.43988266145162014,-0.4406650109003325,0.3586006905701867,0.48,0.5387687969924813,0.7833333333333333,0.41964285714285715,0.7466666666666667,0.4,0.3466666666666667,0.043761303267918245,-0.005853651843164092,-0.04887167739639653,single_feature,1,mom_3m
BND,classifier_only,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.43988266145162014,-0.4406650109003325,0.3586006905701867,0.48,0.5387687969924813,0.7833333333333333,0.41964285714285715,0.7466666666666667,0.4,0.10666666666666667,0.011949361055810119,-0.037665594055272214,-0.08068361960850465,single_feature,1,mom_3m
BND,hybrid_confirm,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.43988266145162014,-0.4406650109003325,0.3586006905701867,0.48,0.5387687969924813,0.7833333333333333,0.41964285714285715,0.7466666666666667,0.4,0.08,0.012945986701434231,-0.03666896840964811,-0.07968699396288054,single_feature,1,mom_3m
BND,classifier_only,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.43988266145162014,-0.4406650109003325,0.3586006905701867,0.48,0.5387687969924813,0.7833333333333333,0.41964285714285715,0.7466666666666667,0.4,0.04,0.005189343615977472,-0.044425611495104864,-0.0874436370483373,single_feature,1,mom_3m
BND,hybrid_confirm,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.43988266145162014,-0.4406650109003325,0.3586006905701867,0.48,0.5387687969924813,0.7833333333333333,0.41964285714285715,0.7466666666666667,0.4,0.02666666666666667,0.007088302669581442,-0.042526652441500896,-0.08554467799473334,single_feature,1,mom_3m
VNQ,regression_sign,,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.3389816558124222,-0.09887204270034333,0.29141598481836023,0.37777777777777777,0.4155844155844156,0.48214285714285715,0.24545454545454545,0.6111111111111112,0.3111111111111111,0.6222222222222222,0.05705002723600759,0.024803512937692698,0.0,single_feature,1,mom_3m
VNQ,classifier_only,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.3389816558124222,-0.09887204270034333,0.29141598481836023,0.37777777777777777,0.4155844155844156,0.48214285714285715,0.24545454545454545,0.6111111111111112,0.3111111111111111,0.3111111111111111,0.010169564221032651,-0.022076950077282245,-0.04688046301497494,single_feature,1,mom_3m
VNQ,hybrid_confirm,0.5,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.3389816558124222,-0.09887204270034333,0.29141598481836023,0.37777777777777777,0.4155844155844156,0.48214285714285715,0.24545454545454545,0.6111111111111112,0.3111111111111111,0.26666666666666666,0.007621628994615344,-0.024624885303699554,-0.049428398241392245,single_feature,1,mom_3m
VNQ,classifier_only,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.3389816558124222,-0.09887204270034333,0.29141598481836023,0.37777777777777777,0.4155844155844156,0.48214285714285715,0.24545454545454545,0.6111111111111112,0.3111111111111111,0.07222222222222222,0.0029023449964761736,-0.029344169301838724,-0.05414768223953142,single_feature,1,mom_3m
VNQ,hybrid_confirm,0.55,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.3389816558124222,-0.09887204270034333,0.29141598481836023,0.37777777777777777,0.4155844155844156,0.48214285714285715,0.24545454545454545,0.6111111111111112,0.3111111111111111,0.05555555555555555,0.002183096103046903,-0.030063418195267994,-0.05486693113296069,single_feature,1,mom_3m
VNQ,classifier_only,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.3389816558124222,-0.09887204270034333,0.29141598481836023,0.37777777777777777,0.4155844155844156,0.48214285714285715,0.24545454545454545,0.6111111111111112,0.3111111111111111,0.016666666666666666,-5.520583376491528e-05,-0.03230172013207982,-0.057105233069772506,single_feature,1,mom_3m
VNQ,hybrid_confirm,0.6,ridge,ridge_lean_v1,1,mom_3m,mom_3m,0.3389816558124222,-0.09887204270034333,0.29141598481836023,0.37777777777777777,0.4155844155844156,0.48214285714285715,0.24545454545454545,0.6111111111111112,0.3111111111111111,0.016666666666666666,-5.520583376491528e-05,-0.03230172013207982,-0.057105233069772506,single_feature,1,mom_3m
VXUS,regression_sign,,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.41492087989558624,-0.026757702810232153,0.3246133966438483,0.37962962962962965,0.36019736842105265,0.5849056603773585,0.40789473684210525,0.7037037037037037,0.49074074074074076,0.7407407407407407,0.08464142323787795,0.04534418708739859,0.0,single_feature,1,mom_6m
VXUS,classifier_only,0.5,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.41492087989558624,-0.026757702810232153,0.3246133966438483,0.37962962962962965,0.36019736842105265,0.5849056603773585,0.40789473684210525,0.7037037037037037,0.49074074074074076,0.49074074074074076,0.02418997304282906,-0.015107263107650306,-0.060451450195048884,single_feature,1,mom_6m
VXUS,hybrid_confirm,0.5,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.41492087989558624,-0.026757702810232153,0.3246133966438483,0.37962962962962965,0.36019736842105265,0.5849056603773585,0.40789473684210525,0.7037037037037037,0.49074074074074076,0.35185185185185186,0.03001763249290749,-0.00927960365757188,-0.05462379074497045,single_feature,1,mom_6m
VXUS,classifier_only,0.55,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.41492087989558624,-0.026757702810232153,0.3246133966438483,0.37962962962962965,0.36019736842105265,0.5849056603773585,0.40789473684210525,0.7037037037037037,0.49074074074074076,0.25925925925925924,0.014955635799210032,-0.024341600351269338,-0.06968578743866792,single_feature,1,mom_6m
VXUS,hybrid_confirm,0.55,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.41492087989558624,-0.026757702810232153,0.3246133966438483,0.37962962962962965,0.36019736842105265,0.5849056603773585,0.40789473684210525,0.7037037037037037,0.49074074074074076,0.14814814814814814,0.01736353709117009,-0.02193369905930927,-0.06727788614670785,single_feature,1,mom_6m
VXUS,classifier_only,0.6,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.41492087989558624,-0.026757702810232153,0.3246133966438483,0.37962962962962965,0.36019736842105265,0.5849056603773585,0.40789473684210525,0.7037037037037037,0.49074074074074076,0.24074074074074073,0.019052071528091755,-0.020245164622387613,-0.06558935170978619,single_feature,1,mom_6m
VXUS,hybrid_confirm,0.6,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.41492087989558624,-0.026757702810232153,0.3246133966438483,0.37962962962962965,0.36019736842105265,0.5849056603773585,0.40789473684210525,0.7037037037037037,0.49074074074074076,0.14814814814814814,0.01736353709117009,-0.02193369905930927,-0.06727788614670785,single_feature,1,mom_6m
VEA,regression_sign,,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.317509222632117,0.038017631548993513,0.2887084746650292,0.4866666666666667,0.4590017825311943,0.627906976744186,0.5454545454545454,0.66,0.5733333333333334,0.8333333333333334,0.07226788186663813,0.03786559093115328,0.0,single_feature,1,mom_6m
VEA,classifier_only,0.5,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.317509222632117,0.038017631548993513,0.2887084746650292,0.4866666666666667,0.4590017825311943,0.627906976744186,0.5454545454545454,0.66,0.5733333333333334,0.5733333333333334,0.03278514021198264,-0.0016171507235022205,-0.03948274165465549,single_feature,1,mom_6m
VEA,hybrid_confirm,0.5,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.317509222632117,0.038017631548993513,0.2887084746650292,0.4866666666666667,0.4590017825311943,0.627906976744186,0.5454545454545454,0.66,0.5733333333333334,0.46,0.032678696767156484,-0.001723594168328377,-0.039589185099481644,single_feature,1,mom_6m
VEA,classifier_only,0.55,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.317509222632117,0.038017631548993513,0.2887084746650292,0.4866666666666667,0.4590017825311943,0.627906976744186,0.5454545454545454,0.66,0.5733333333333334,0.19333333333333333,0.012585144875788955,-0.0218171460596959,-0.059682736990849174,single_feature,1,mom_6m
VEA,hybrid_confirm,0.55,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.317509222632117,0.038017631548993513,0.2887084746650292,0.4866666666666667,0.4590017825311943,0.627906976744186,0.5454545454545454,0.66,0.5733333333333334,0.13333333333333333,0.012897715824248998,-0.021504575111235862,-0.05937016604238913,single_feature,1,mom_6m
VEA,classifier_only,0.6,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.317509222632117,0.038017631548993513,0.2887084746650292,0.4866666666666667,0.4590017825311943,0.627906976744186,0.5454545454545454,0.66,0.5733333333333334,0.16666666666666666,0.016569084782305878,-0.017833206153178984,-0.05569879708433225,single_feature,1,mom_6m
VEA,hybrid_confirm,0.6,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.317509222632117,0.038017631548993513,0.2887084746650292,0.4866666666666667,0.4590017825311943,0.627906976744186,0.5454545454545454,0.66,0.5733333333333334,0.12,0.012725405943058937,-0.021676884992425923,-0.05954247592357919,single_feature,1,mom_6m
VHT,regression_sign,,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.18165911618696257,-0.5983100847477592,0.27942405980587043,0.5,0.49143049176655085,0.580952380952381,0.5398230088495575,0.5885416666666666,0.546875,0.3125,0.024399285064339648,0.003630849585318001,0.0,single_feature,1,mom_6m
VHT,classifier_only,0.5,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.18165911618696257,-0.5983100847477592,0.27942405980587043,0.5,0.49143049176655085,0.580952380952381,0.5398230088495575,0.5885416666666666,0.546875,0.546875,0.018209403677504152,-0.0025590318015174876,-0.0061898813868354954,single_feature,1,mom_6m
VHT,hybrid_confirm,0.5,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.18165911618696257,-0.5983100847477592,0.27942405980587043,0.5,0.49143049176655085,0.580952380952381,0.5398230088495575,0.5885416666666666,0.546875,0.2552083333333333,0.022658196092409277,0.001889760613387632,-0.0017410889719303713,single_feature,1,mom_6m
VHT,classifier_only,0.55,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.18165911618696257,-0.5983100847477592,0.27942405980587043,0.5,0.49143049176655085,0.580952380952381,0.5398230088495575,0.5885416666666666,0.546875,0.28125,-0.0007538691554979035,-0.021522304634519544,-0.02515315421983755,single_feature,1,mom_6m
VHT,hybrid_confirm,0.55,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.18165911618696257,-0.5983100847477592,0.27942405980587043,0.5,0.49143049176655085,0.580952380952381,0.5398230088495575,0.5885416666666666,0.546875,0.11458333333333333,0.004627420422602775,-0.016141015056418868,-0.019771864641736872,single_feature,1,mom_6m
VHT,classifier_only,0.6,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.18165911618696257,-0.5983100847477592,0.27942405980587043,0.5,0.49143049176655085,0.580952380952381,0.5398230088495575,0.5885416666666666,0.546875,0.13541666666666666,-0.0008069227927883378,-0.02157535827180998,-0.025206207857127984,single_feature,1,mom_6m
VHT,hybrid_confirm,0.6,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.18165911618696257,-0.5983100847477592,0.27942405980587043,0.5,0.49143049176655085,0.580952380952381,0.5398230088495575,0.5885416666666666,0.546875,0.036458333333333336,-0.002095431026605013,-0.02286386650562665,-0.02649471609094466,single_feature,1,mom_6m
VPU,regression_sign,,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.25197013265333806,-0.3334276533669289,0.3084972508624881,0.484375,0.4812618595825427,0.6288659793814433,0.49193548387096775,0.6458333333333334,0.5052083333333334,0.6145833333333334,0.049724961016911116,0.024990229807706026,0.0,single_feature,1,mom_6m
VPU,classifier_only,0.5,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.25197013265333806,-0.3334276533669289,0.3084972508624881,0.484375,0.4812618595825427,0.6288659793814433,0.49193548387096775,0.6458333333333334,0.5052083333333334,0.5052083333333334,0.030142601079492876,0.005407869870287789,-0.01958235993741824,single_feature,1,mom_6m
VPU,hybrid_confirm,0.5,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.25197013265333806,-0.3334276533669289,0.3084972508624881,0.484375,0.4812618595825427,0.6288659793814433,0.49193548387096775,0.6458333333333334,0.5052083333333334,0.3489583333333333,0.032553924863060975,0.00781919365385588,-0.01717103615385014,single_feature,1,mom_6m
VPU,classifier_only,0.55,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.25197013265333806,-0.3334276533669289,0.3084972508624881,0.484375,0.4812618595825427,0.6288659793814433,0.49193548387096775,0.6458333333333334,0.5052083333333334,0.2708333333333333,0.020864991333586047,-0.0038697398756190383,-0.02885996968332507,single_feature,1,mom_6m
VPU,hybrid_confirm,0.55,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.25197013265333806,-0.3334276533669289,0.3084972508624881,0.484375,0.4812618595825427,0.6288659793814433,0.49193548387096775,0.6458333333333334,0.5052083333333334,0.22916666666666666,0.0224444246685491,-0.0022903065406559863,-0.027280536348362017,single_feature,1,mom_6m
VPU,classifier_only,0.6,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.25197013265333806,-0.3334276533669289,0.3084972508624881,0.484375,0.4812618595825427,0.6288659793814433,0.49193548387096775,0.6458333333333334,0.5052083333333334,0.17708333333333334,0.011275934051417144,-0.013458797157787942,-0.038449026965493974,single_feature,1,mom_6m
VPU,hybrid_confirm,0.6,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.25197013265333806,-0.3334276533669289,0.3084972508624881,0.484375,0.4812618595825427,0.6288659793814433,0.49193548387096775,0.6458333333333334,0.5052083333333334,0.16666666666666666,0.012868446788095856,-0.011866284421109236,-0.03685651422881526,single_feature,1,mom_6m
BNDX,regression_sign,,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.46423197056108445,-0.22948336333880448,0.28888129490030995,0.5769230769230769,0.4293831168831169,0.6825396825396826,0.7678571428571429,0.717948717948718,0.8076923076923077,0.7307692307692307,0.1082784863421787,0.059108087321326025,0.0,single_feature,1,mom_6m
BNDX,classifier_only,0.5,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.46423197056108445,-0.22948336333880448,0.28888129490030995,0.5769230769230769,0.4293831168831169,0.6825396825396826,0.7678571428571429,0.717948717948718,0.8076923076923077,0.7307692307692307,0.09211392201807919,0.042943522997226515,-0.016164564324099504,single_feature,1,mom_6m
BNDX,hybrid_confirm,0.5,ridge,ridge_lean_v1,1,mom_6m,mom_6m,0.46423197056108445,-0.22948336333880448,0.28888129490030995,0.5769230769230769,0.4293831168831169,0.6825396825396826,0.7678571428571429,0.717948717948718,0.8076923076923077,0.6410256410256411,0.09293429009404876,0.043763891073196094,-0.015344196248129938,single_feature,1,mom_6m
