feature_name,category,replace_or_compete_with,definition,economic_rationale,expected_direction,likely_frequency,likely_source,implementation_difficulty,likely_signal_quality,why_it_might_outperform_existing_feature,key_risks,target_model,priority_rank,research_source,status,notes
unrealized_gain_pct_equity,PGR_specific,roe_net_income_ttm,Unrealized gains over equity,OCI and capital flexibility proxy,positive when larger buffer exists,monthly,EDGAR,medium,medium,Can explain valuation behavior around rate shocks,Accounting noise possible,ridge,22,chatgpt,queued_engineer,Test after duration rate shock
loss_ratio_ttm,PGR_specific,combined_ratio_ttm,Trailing loss ratio,Claims cost pressure isolated from expenses,negative when high,monthly,EDGAR,medium,high,Decomposes combined ratio into a more causal part,bad cat months can spike,both,23,chatgpt,queued_engineer,Phase-two decomposition test
expense_ratio_ttm,PGR_specific,combined_ratio_ttm,Trailing expense ratio,Distribution efficiency and operating leverage signal,negative when high,monthly,EDGAR,medium,medium-high,Complements loss ratio and may be smoother,Strategy shifts can move baseline,ridge,24,chatgpt,queued_engineer,Pair with loss ratio after individual tests
usd_broad_return_3m,benchmark_predictive,nfci,Broad trade-weighted USD three month return,Key driver for VXUS VWO GLD and DBC denominator,positive for PGR versus exUS and real assets,monthly,FRED,low,high,High benchmark relevance with low complexity,Regime dependence,both,25,chatgpt;claude,queued_engineer,Highest-priority benchmark feature
usd_momentum_6m,benchmark_predictive,nfci,Broad trade-weighted USD six month return,Longer horizon USD regime signal,positive for PGR versus exUS and GLD,monthly,FRED,low,medium-high,Useful horizon variant if 3m signal underfits,May overlap with 3m version,gbt,26,geminipro,queued_engineer,Test after 3m version
wti_return_3m,benchmark_predictive,yield_curvature,WTI three month return,Energy and broad commodity benchmark driver,negative for PGR versus VDE and DBC,monthly,FRED,low,high,Targets VDE and DBC directly,Geopolitical shocks create tails,both,27,chatgpt,queued_engineer,High-priority commodity benchmark feature
mortgage_spread_30y_10y,benchmark_predictive,yield_curvature,Thirty year mortgage rate minus ten year treasury,Direct VMBS spread driver,positive for PGR versus VMBS when spread widens,monthly,FRED,low,medium,Better VMBS denominator anchor than curve curvature,Can be technical and noisy,ridge,28,chatgpt;gemini,queued_engineer,Strong Ridge benchmark candidate
baa10y_spread,shared_regime,credit_spread_hy,Baa corporate minus ten year treasury spread,Smoother credit stress regime proxy,negative in risk-off regimes,monthly,FRED,low,medium,Potentially cleaner than HY spread,May miss fast tail events,both,29,chatgpt;gemini,queued_engineer,Test before harder credit variants
credit_spread_ratio,shared_regime,credit_spread_hy,HY spread divided by IG spread,Purer risk appetite ratio than raw HY spread,negative in risk-off regimes,monthly,FRED,medium,medium,Reduces collinearity if IG series is added,Needs extra IG series,ridge,30,geminipro,deferred_harder,Build only if easy point-in-time IG source exists
breakeven_inflation_10y,benchmark_predictive,yield_curvature,Ten year breakeven inflation level,Inflation expectation driver for GLD DBC and bonds,mixed by benchmark but useful for relative return,monthly,FRED,low,medium-high,Missing macro dimension in current winner,bonds and gold may react differently,both,31,claude,queued_engineer,Level version first
breakeven_momentum_3m,benchmark_predictive,vol_63d,Three month change in breakeven inflation,Inflation acceleration regime signal,positive for GLD and DBC relative strength,monthly,FRED,low,medium,More tactical than level and likely tree friendly,Can be noisy around policy shifts,gbt,32,geminipro,queued_engineer,Use after breakeven level
real_yield_change_6m,shared_regime,real_rate_10y,Six month change in ten year real yield,Trajectory of real rates for GLD BND and VOO,negative for GLD and bonds when rising,monthly,FRED,low,high,May outperform the static real rate level,Can overlap with rate shock family,both,33,geminipro,queued_engineer,Compare to existing real rate level
term_premium_10y,benchmark_predictive,yield_slope,Ten year term premium level,Purer duration risk pricing than simple slope,mixed by benchmark,monthly,FRED,low,medium,Could improve bond denominator modeling,Model revision risk,ridge,34,gemini,queued_engineer,Lower priority than mortgage spread and real yield
gold_vs_treasury_6m,benchmark_predictive,mom_12m,GLD six month return minus BND six month return,Cross-asset fear and safety regime signal,negative for PGR when gold outruns bonds,monthly,prices,low,medium,More target aligned than generic raw momentum,Can false positive in rate-cut cycles,gbt,35,geminipro,queued_engineer,Useful tree regime switch
commodity_equity_momentum,benchmark_predictive,mom_6m,DBC six month return minus VOO six month return,Real asset versus financial asset regime signal,negative for PGR when commodities lead,monthly,prices,low,medium,Adds inflation regime context without more raw macro series,Supply shocks can dominate,gbt,36,gemini,queued_engineer,Secondary cross-asset feature
legal_services_ppi_relative,PGR_specific,vix,Legal services PPI relative to broad PPI,Social inflation proxy for casualty reserving,negative for PGR when rising,monthly,FRED,low,medium,Captures a risk channel not covered elsewhere,Proxy may be indirect,ridge,37,gemini,queued_engineer,Social inflation test
gasoline_retail_sales_delta,benchmark_predictive,wti_return_3m,Gasoline retail sales YoY change,Physical energy demand proxy for VDE and DBC,negative for PGR versus energy when rising,monthly,FRED,low,medium,More demand-centric than oil price alone,Nominal sales mix price and volume,gbt,38,gemini,queued_engineer,Test only after WTI feature
vwo_vxus_spread_6m,benchmark_predictive,mom_6m,VWO six month return minus VXUS six month return,EM versus developed exUS risk appetite signal,mixed mean-reverting,monthly,prices,low,low-medium,Specific denominator feature for international block,May overlap heavily with USD,gbt,39,geminipro,queued_engineer,Low priority international spread
pgr_cr_vs_peer_cr,PGR_specific,combined_ratio_ttm,PGR combined ratio minus peer combined ratio,Relative underwriting edge versus industry,negative when PGR is worse than peers,monthly,EDGAR plus peers,high,high,Direct alpha versus beta underwriting feature,Peer normalization work is significant,gbt,40,geminipro,deferred_harder,Strong idea but not immediate
pgr_price_to_book_relative,PGR_specific,roe_net_income_ttm,PGR price to book divided by sector price to book,Insurance valuation mean reversion signal,mean reverting positive when cheap,monthly,market data plus valuation,high,medium-high,More industry-native than PE ratio,Needs point-in-time sector valuation,ridge,41,gemini,deferred_harder,Prefer before PE relative
pgr_pe_vs_market_pe,PGR_specific,roe_net_income_ttm,PGR PE divided by market PE,Relative valuation versus broad market,mean reverting positive when cheap,monthly,market data plus valuation,medium,medium,Strips out broad market multiple expansion,PE is noisy for insurers,ridge,42,geminipro,deferred_harder,Lower priority than P to B
equity_risk_premium,benchmark_predictive,yield_curvature,Market earnings yield minus ten year treasury yield,VOO versus bond allocation anchor,positive for VOO relative strength,monthly,market data plus FRED,medium,high,Direct broad equity denominator feature,Needs reliable point-in-time earnings yield,ridge,43,geminipro;gemini,deferred_harder,High value if sourced cleanly
pgr_fcf_yield,PGR_specific,underwriting_income_growth_yoy,Operating cash flow over market cap,Stationary cash generation metric for Ridge,positive for PGR relative return,quarterly with monthly carry,EDGAR plus price,high,medium-high,Fixes nominal dollar scaling problem,Cash flow lumpy and lower frequency,ridge,44,geminipro,deferred_harder,Build only if quarterly timing handled safely
pgr_premium_to_surplus,PGR_specific,npw_growth_yoy,Annualized premium over equity,Operating leverage and capital strain metric,negative when too high,monthly plus quarterly equity,EDGAR,medium-high,medium,Insurance specific balance-sheet risk feature,Needs mixed-frequency handling,ridge,45,gemini,deferred_harder,Useful but not first wave
excess_bond_premium_proxy,shared_regime,credit_spread_hy,Residual credit risk premium beyond fundamentals,Refined risk appetite indicator,negative in stress regimes,monthly,FRED plus model,high,medium-high,Stronger literature support than raw spread,More complex than v15 should start with,both,46,claude,deferred_harder,Stretch item after simpler credit features
