candidate_name,model_type,candidate_feature,replace_feature,candidate_available_now,replacement_present_in_model,priority_rank,category,likely_source,implementation_difficulty,likely_signal_quality,research_source,status,notes
ridge_lean_v1,ridge,real_yield_change_6m,real_rate_10y,True,True,33,shared_regime,FRED,low,high,geminipro,queued_engineer,Compare to existing real rate level
ridge_lean_v1,ridge,term_premium_10y,yield_slope,False,True,34,benchmark_predictive,FRED,low,medium,gemini,queued_engineer,Lower priority than mortgage spread and real yield
gbt_lean_plus_two,gbt,gold_vs_treasury_6m,mom_12m,False,True,35,benchmark_predictive,prices,low,medium,geminipro,queued_engineer,Useful tree regime switch
gbt_lean_plus_two,gbt,commodity_equity_momentum,mom_6m,False,True,36,benchmark_predictive,prices,low,medium,gemini,queued_engineer,Secondary cross-asset feature
ridge_lean_v1,ridge,legal_services_ppi_relative,vix,False,True,37,PGR_specific,FRED,low,medium,gemini,queued_engineer,Social inflation test
gbt_lean_plus_two,gbt,vwo_vxus_spread_6m,mom_6m,False,True,39,benchmark_predictive,prices,low,low-medium,geminipro,queued_engineer,Low priority international spread
ridge_lean_v1,ridge,pgr_price_to_book_relative,roe_net_income_ttm,False,True,41,PGR_specific,market data plus valuation,high,medium-high,gemini,deferred_harder,Prefer before PE relative
ridge_lean_v1,ridge,pgr_pe_vs_market_pe,roe_net_income_ttm,False,True,42,PGR_specific,market data plus valuation,medium,medium,geminipro,deferred_harder,Lower priority than P to B
ridge_lean_v1,ridge,equity_risk_premium,yield_curvature,False,True,43,benchmark_predictive,market data plus FRED,medium,high,geminipro;gemini,deferred_harder,High value if sourced cleanly
ridge_lean_v1,ridge,pgr_premium_to_surplus,npw_growth_yoy,False,True,45,PGR_specific,EDGAR,medium-high,medium,gemini,deferred_harder,Useful but not first wave
gbt_lean_plus_two,gbt,excess_bond_premium_proxy,credit_spread_hy,False,True,46,shared_regime,FRED plus model,high,medium-high,claude,deferred_harder,Stretch item after simpler credit features
ridge_lean_v1,ridge,excess_bond_premium_proxy,credit_spread_hy,False,True,46,shared_regime,FRED plus model,high,medium-high,claude,deferred_harder,Stretch item after simpler credit features
