candidate_name,candidate_type,model_type,benchmark,n_features,feature_columns,current_predicted_return,ic,hit_rate,oos_r2,mae,policy_return_sign
ensemble_ridge_gbt_v18,ensemble,ensemble,VWO,25,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,vwo_vxus_spread_6m,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.17844798794257397,0.3264523477319969,0.6436781609195402,-0.13416580897803865,0.13765177841599294,0.07760676186229792
ensemble_ridge_gbt_v18,ensemble,ensemble,VMBS,25,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,vwo_vxus_spread_6m,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.029401358645804114,0.24206542120980623,0.7583333333333333,-0.17523326894705238,0.13436829467007666,0.11775619657175625
ensemble_ridge_gbt_v18,ensemble,ensemble,BND,25,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,vwo_vxus_spread_6m,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.016825619694564396,0.3337054980221343,0.7266666666666667,-0.16987655309238114,0.12547684777928225,0.09876397345230299
ensemble_ridge_gbt_v18,ensemble,ensemble,GLD,25,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,vwo_vxus_spread_6m,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.327721895106176,0.18672798543164912,0.5944444444444444,-0.504577972760553,0.17424711711533689,0.044316724022349006
ensemble_ridge_gbt_v18,ensemble,ensemble,DBC,25,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,vwo_vxus_spread_6m,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.2268433620094719,0.1735185588248693,0.7083333333333334,-0.14239963314372872,0.16626950229536155,0.10016358347007423
ensemble_ridge_gbt_v18,ensemble,ensemble,VDE,25,"mom_12m,vol_63d,yield_slope,real_yield_change_6m,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,book_value_per_share_growth_yoy,npw_growth_yoy,mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,vwo_vxus_spread_6m,credit_spread_hy,nfci,vix,rate_adequacy_gap_yoy,pif_growth_yoy,investment_book_yield",-0.2499161605368844,0.12642571272775907,0.5944444444444444,-0.250691491223358,0.1921918273086773,0.05370266151052145
baseline_historical_mean,baseline,baseline,VOO,0,,0.03562206220995744,-0.31313990675372155,0.4166666666666667,-0.5115917712132123,0.1661429675649001,0.017055814216141222
baseline_historical_mean,baseline,baseline,VXUS,0,,0.06172351288683073,-0.3761686155902567,0.7037037037037037,-0.11278975223046794,0.14765615964826645,0.07859447230095874
baseline_historical_mean,baseline,baseline,VWO,0,,0.0784594196530243,-0.14421049345360057,0.632183908045977,-0.20144206686199073,0.14502050646568881,0.0728512267311783
baseline_historical_mean,baseline,baseline,VMBS,0,,0.10741521015172592,-0.20392880932476717,0.75,-0.1502628080895121,0.12323531713504687,0.11360403906076227
baseline_historical_mean,baseline,baseline,BND,0,,0.10934351599997592,-0.008497656200825987,0.7466666666666667,-0.08277969660567464,0.11267042251140864,0.09922991022216468
baseline_historical_mean,baseline,baseline,GLD,0,,0.008170490570845367,0.04827448476072604,0.6222222222222222,-0.2138246908156638,0.15661973082026462,0.04405486911514089
baseline_historical_mean,baseline,baseline,DBC,0,,0.03950581118302881,-0.12099466212557697,0.6607142857142857,-0.19046113276128085,0.1662056955128255,0.08634822233219674
baseline_historical_mean,baseline,baseline,VDE,0,,-0.01951297950955773,-0.0202955420833861,0.5666666666666667,-0.17446306074327778,0.18517115088560934,0.05135584768253136
